OrderID,Title,SalePrice,NetSale,COGS
14-11888-02734,2023 Leaf Flash Josh Downs Purple Sparkle RC Auto /6 #FA-JD1 Colts,10.78,7.69,
23-11879-42556,2023-24 Panini Prizm Jaylen Brown Green Ice SP #31 Celtics,16.82,12.68,
04-11899-73516,2023 Panini Prizm Christian McCaffrey Prizmatic Purple Power /49 #14 49ERS,18.98,15.4,
17-11887-96498,2022 Panini Absolute James Cook Orange Rookie /75 #115 Bills,4.31,2.52,
02-11903-34256,2023-24 Panini Prizm Lebron James Orange Ice SP #63 Lakers,6.0,3.7,
18-11889-78399,2022 Panini Prestige Kyle Hamilton Passport RC Auto #NPS-KH Ravens,17.81,13.42,
26-11882-68965,2023-24 Panini Prizm Dereck Lively Silver Ice RC #163 Mavericks,15.82,11.31,
20-11893-57710,2022 Panini Select Bryan Cook Orange Die-Cut /199 Rookie #252 Chiefs,3.2,1.64,
01-11912-91109,2022 Panini Prizm Aidan Hutchinson Red White & Blue RC #340 PSA 9 Lions,29.96,20.57,
03-11914-82995,2022 Panini Select Treylon Burks White Rookie /35 #195 Titans,5.08,2.99,
27-11895-45450,2023 Panini Prizm Jaxon Smith-Njigba Silver RC #390 Seahawks,8.71,5.86,
23-11902-27647,2023 Bowman University Chrome Jalon Daniels Purple /399 #173 Kansas RC,7.55,5.01,
26-11901-63412,2022 Panini Certified Drake London Graffiti Teal RC /50 #2022-18 Falcons,13.96,10.34,
15-11915-25102,2023 Panini Phoenix Will Anderson Red RC /250 #144 Texans,5.93,3.83,
16-11921-17600,2023 Panini Prizm Monopoly Lebron James Purple #40 PSA 9 Lakers,23.19,14.85,
12-11925-50942,2022 Panini Certified Jameson Williams Graffiti Blue RC /75 #2022-10 Lions,22.18,17.42,
05-11937-18772,2023-24 Panini Donruss Optic - Rated Rookie #225 Victor Wembanyama (RC),17.14,12.64,
25-11919-97018,2022 Leaf Ultimate Kool-Aid Mckinstry Blue RC Auto /75 #PA-GM1 Alabama,11.94,8.57,
02-11954-03874,2023 Panini Prizm Tyjae Spears Orange Lazer RC #396 Titans,5.39,3.28,
14-11946-39716,2023 Panini Prizm CJ Stroud Green Prizmatic RC #6 PSA 10,79.07,59.52,
07-11954-69989,2013 Panini Prominence Vance McDonald Letterman 'O' RPA /224 #197 49ERS,16.16,12.8,
14-11949-49333,2015 Panini Prizm Lawrence Taylor Blue Wave /150 #56 Giants PSA 10,68.52,52.28,
04-11959-83885,2023-24 Panini Prizm Dwyane Wade Red /299 #182 Heat,9.71,6.91,
01-11965-17260,2022 Leaf Metal Zay Flowers Pink RC Auto /20 #TK-ZF1 Ravens,22.55,17.38,
08-11961-54877,2023 Bowman University Chrome Donovan Edwards Green Shimmer /99 Michigan,20.07,15.67,
27-11944-97555,2023 Panini Optic Will Anderson Green Velocity Rated Rookie #246 Texans,6.47,4.27,
16-11957-10068,2023 Panini Gridiron Kings Sam LaPorta RC #RGK12 PSA 10,47.82,34.57,
24-11965-54710,2022 Panini Prizm Drake London Green RC #308 Falcons,11.85,8.33,
01-11978-56842,2014-15 Panini Select Russell Westbrook Blue Die-Cut /199 #102 Thunder,9.55,6.94,
11-11974-21975,2022 Panini Prizm Jahan Dotson Purple RC /125 #312 Commanders,11.64,8.6,
26-11964-58959,2023 Panini Prizm Josh Allen Purple Ice /149 #58 Bills PSA 10,69.66,57.16,
03-11991-76856,2022 Panini Select Edmen Shahbazyan Auto #OA-ESH UFC,6.43,4.15,
23-11978-34632,2022 Panini Optic Jameson Williams Purple Shock Rated Rookie #208 Lions,11.58,8.37,
23-11981-83295,2009 Bowman Chrome Percy Harvin Bronze RC /225 #138 Vikings,4.87,2.96,
05-12005-78031,2022 Panini Donruss Shohei Ohtani Bomb Squad Diamond #BS3 PSA 10,72.29,42.83,
27-11984-31856,2021 Panini Spectra Josh Palmer Patch Auto RC /125 #232 Chargers,21.2,16.82,
04-12007-96848,2011 Topps Chrome Rob Gronkowski Xfractor #132 SGC 10 Patriots 2nd Year,38.86,27.58,
05-12011-11750,2022 Panini Prizm AJ Brown Orange /249 #236 Eagles,4.78,2.86,
17-11998-71601,2023 Bowman University Chrome Travis Hunter Pink Refractor #36 Colorado RC,11.78,8.58,
14-12001-79491,2023 Bowman University Chrome Shedeur Sanders Purple /399 #16 RC,47.99,33.6,
26-11996-97591,2023 Bowman Chrome Tetairoa McMillan X-Fractor RC #68 Arizona,11.64,8.6,
18-12005-40976,2023 Bowman University Chrome Tetairoa McMillan Blue /199 Arizona #68,22.75,16.9,
